distance (Âµm),fluo. int. (A.U.)
0.0,117.052
10.0,17947.373
20.0,17819.21
30.0,14971.257
40.0,9905.495
50.0,7102.568
60.0,5701.584
70.0,5153.572
80.0,4605.398
90.0,4195.762
100.0,3606.132
110.0,3308.29
120.0,2963.09
130.0,2670.193
140.0,2263.476
150.0,2095.859
160.0,1917.352
170.0,1710.635
180.0,1561.37
190.0,1439.282
200.0,1360.769
210.0,1198.496
220.0,1151.236
230.0,1073.411
240.0,921.15
250.0,836.754
260.0,830.763
270.0,759.631
280.0,733.436
290.0,686.075
300.0,667.632
310.0,603.315
320.0,579.093
330.0,583.576
340.0,534.137
350.0,500.668
360.0,491.424
370.0,478.509
380.0,481.279
390.0,457.553
400.0,457.389
410.0,445.494
420.0,422.598
430.0,393.468
440.0,383.884
450.0,363.481
460.0,355.224
470.0,361.682
480.0,357.093
490.0,355.163
500.0,354.376
510.0,343.121
520.0,352.039
530.0,339.885
540.0,332.055
550.0,311.825
560.0,297.704
570.0,289.883
580.0,286.839
590.0,282.1
600.0,278.175
610.0,262.764
620.0,259.387
630.0,250.568
640.0,248.422
650.0,253.901
660.0,257.407
670.0,243.82
680.0,228.127
690.0,232.143
700.0,221.299
710.0,215.584
720.0,202.699
730.0,206.382
740.0,207.567
750.0,200.938
760.0,196.185
770.0,198.044
780.0,190.074
790.0,184.093
800.0,184.243
810.0,189.282
820.0,187.07
830.0,181.513
840.0,196.407
850.0,200.669
860.0,193.136
870.0,184.832
880.0,199.527
890.0,200.641
900.0,198.764
910.0,191.151
920.0,205.113
930.0,201.732
940.0,175.733
950.0,188.663
960.0,175.404
970.0,162.583
980.0,162.885
990.0,165.675
